"PermisoId","NumeroPermiso","RazonSocial","Calle","CodigoPostal","Colonia","Latitud","Longitud","Regular","Premium","Diesel","FechaAplicacion"
"2041","PL/760/EXP/ES/2015","DÍAZ GAS  S.A. DE C.V.","Av. Adolfo López Mateos No. 1604  Col. Melchor Ocampo  Juárez","32380","","31.71947","-106.4514","15.71","17.93","",""
"2042","PL/825/EXP/ES/2015","COMBU-EXPRESS  S.A. DE C.V.","Ricardo Flores Magon No. 950  Col. Huentitan el Alto  Guadalajara","44390","","20.71413","-103.3042","16.52","18.4","17.24","1/9/2017 9:04:00 AM"
"2050","PL/797/EXP/ES/2015","AUTOSERVICIO BERLANGA S.A. DE C.V.","Blvd. Harold R. Pape No.2103-A  Col. Jardines De Guadalupe","25736","","26.92554","-101.4189","16.03","17.8","",""
"2052","PL/366/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V","Carretera San Blas-Santa Cruz km. 13  Aticama  Municipio de San Blas","63740","","21.4739","-105.1947","16.33","","17.43","1/7/2017 1:40:00 PM"
"2054","PL/868/EXP/ES/2015","Servicio Sevilla  S.A. de C.V.","Av. Gustavo Baz  S/N  San Pedro Barrientos","54010","","19.58616","-99.1973","16.27","18.14","",""
"2056","PL/887/EXP/ES/2015","GASOLINERA HUITEPEC  S.A. DE C.V.","Carretera Internacional Km. 1170 S/N  Barrio de Fátima  San Cristóbal de la Casas","29264","","16.73187","-92.65437","15.73","17.5","16.8",""
"2058","PL/890/EXP/ES/2015","SUPER SERVICIO MIVASA  S. A. DE C. V.","Prol. Pino Suárez 126  Villas de San Francisco  Durango","34287","","24.02956","-104.6217","16.27","18.04","17.28",""
"2060","PL/795/EXP/ES/2015","COMBUSTIBLES Y LUBRICANTES ATENAS S.A. DE C.V.","Nogales 4900 Frac Atenas Chihuahua ","31104","","28.73367","-106.1008","16.12","18.08","17.39",""
"2062","PL/708/EXP/ES/2015","BECKTROP OPERADORA S.A. DE C.V.","Carretera Tijuana-Rosarito No. 9311-1B Col. Francisco Zarco","22660","","32.45102","-117.0249","16.04","","",""
"2070","PL/689/EXP/ES/2015","RAMCAL S.A. DE C.V.","Carretera Federal Manzanillo Colima Km 307+500  El Colomo","28800","","19.03549","-104.2109","15.95","17.71","17.02",""
"2071","PL/650/EXP/ES/2015","Gasomac S.A. de C.V.","Calzada de Tlalpan No. 2803  Col. Pueblo de Pablo Tepetlalpa  Coyoacán","4620","","19.3231","-99.13844","16.32","18.19","17.06",""
"2072","PL/866/EXP/ES/2015","Autoconsumo Los Pinos  S.A de C.V.","Avenida Periférico Sur número 5550  Colonia Pedregal de Carrasco  Delegación Coyoacán","4700","","19.30205","-99.16505","16.32","18.19","",""
"2074","PL/764/EXP/ES/2015","SERVICIOS ENERGÉTICOS PLAZA INDUSTRIAL S.A. DE C.V.","Carretera Estatal a Gral. Cepeda No. 2731  S/C  Saltillo","25324","","25.2563","-101.1169","15.98","17.75","17.05",""
"2076","PL/754/EXP/ES/2015","OLEUM GAS S.A. DE C.V.","Libramiento Sur Oriente No. 3430 Col. Cerro Hueco","29094","","16.73384","-93.09296","15.73","17.5","16.8",""
"2078","PL/823/EXP/ES/2015","Gasolinería Cid  S.A. de C.V.","Carr.  Villa del Carbón No. 332  Col. Villa Nicolás Romero  Villa Nicolás Romero Centro","54400","","19.64046","-99.36308","16.27","18.14","17.01",""
"2079","PL/627/EXP/ES/2015","Gasolinería Perseo  S.A. de C.V.","Carretera 57 Km 16+800  Colonia Central  Nextlalpan","55790","","19.74912","-99.11606","16.32","18.2","17.07",""
"2084","PL/724/EXP/ES/2015","SERVICIO AVENIDA  S.A. DE C.V.","Avenida Convención 1914 Norte No.1902  Col. Buenos Aires","20020","","21.89668","-102.3053","16.16","17.93","17.23",""
"2089","PL/690/EXP/ES/2015","Socombumex  S.A. de C.V.","Tiburón 1  Fondeport  Manzanillo","28219","","19.07791","-104.288","15.95","17.71","17.02",""
"2090","PL/699/EXP/ES/2015","Gasolinería Segovia S.A. de C.V.","Avenida de las Bombas s/n Colonia San Isidro Atlautenco","55064","","19.60755","-98.99508","16.32","18.2","17.07",""
"2095","PL/417/EXP/ES/2015","GRUPO OCTANO  S.A. DE C.V.","Av. México No. 788  Col. San José  Tepic","63030","","21.52222","-104.8868","16.33","18.1","17.43","1/7/2017 1:35:00 PM"
